id,type,family,axis,line_no,tokens_before,text,note
cad4b9a7,kill,2mode,transcription,34,552,"s4: x != a*b-1: standard: EQ3 ones: a ends F in {0,1}, b ends B in {2,3}, result ends a's ones symbol; 0*2 then -1 ends 9; 0*3 then -1 ends 9; 1*2 then -1 ends 1; 1*3 then -1 ends 2 -> none matches; little-endian: EQ3 ones: a ends E in {4,5,6}, b ends G in {4,5,6}, result ends B in {2,3}; 4*5 then -1 ends 9; 4*6 then -1 ends 3; 5*4 then -1 ends 9; 5*6 then -1 ends 9; 6*4 then -1 ends 3; 6*5 then -1 ends 9 -> none matches -> drop.","result ones "" != a's ones ' | 1 stated pair(s) actually match the target | 2 stated pair(s) actually match the target"
cd2e20b9,union,digit-map,transcription,17,243,} (in EQ2) -> H,"symbol '}' mapped twice | '}' should map to G (first-appearance), got H"
d0e1010b,kill,2mode,verdict,34,516,"s3: y != a*b-1: standard: EQ4 ones: a ends A in {1,2}, b ends H in {4,5}, result ends G in {3,6}; 1*4 then -1 ends 3; 1*5 then -1 ends 4; 2*4 then -1 ends 7; 2*5 then -1 ends 9 -> none matches; little-endian: EQ4 ones: a ends B in {2,3}, b ends F in {4,7}, result ends D in {1,9}; 2*4 then -1 ends 7; 2*7 then -1 ends 3; 3*4 then -1 ends 1; 3*7 then -1 ends 0 -> none matches -> drop.",1 stated pair(s) actually match the target | 1 stated pair(s) actually match the target
d13e92ec,kill,2mode,verdict,37,633,"s5: y != a+b-1: standard: EQ4 ones: a ends C in {1,2}, b ends H in {2,3}, result ends b's ones symbol; 1+2 then -1 ends 2; 1+3 then -1 ends 3; 2+3 then -1 ends 4 -> none matches; little-endian: EQ4 ones: a ends C in {1,2}, b ends F in {4,5,6}, result ends a's ones symbol; 1+4 then -1 ends 4; 1+5 then -1 ends 5; 1+6 then -1 ends 6; 2+4 then -1 ends 5; 2+5 then -1 ends 6; 2+6 then -1 ends 7 -> none matches -> drop.",2 stated pair(s) actually match the target
d23f4166,kill,enum,transcription,41,672,"s13: x != a mod b: EQ1 readings: a=23, b=22: a mod b = 1, result digit 1 would be 1 but 1 is taken by D; a=24, b=22: a mod b = 2, result digit 1 would be 2 but 2 is taken by A; a=25, b=22: a mod b = 3, result digit 1 would be 3 but 3 is taken by B; a=26, b=22: a mod b = 4, result digit 1 would be 4 but 4 is taken by B; a=27, b=22: a mod b = 5, result digit 1 would be 5 but 5 is taken by B; a=28, b=22: a mod b = 6, result digit 1 would be 6 but 6 is taken by B; a=29, b=22: a mod b = 7, result digit 1 would be 7 but 7 is taken by B -> drop.",3 not pinned to B (None) | 4 not pinned to B (None) | 5 not pinned to B (None) | 6 not pinned to B (None)
d29e19a4,kill,range,verdict,35,493,"s3: y != |a-b|, a+b, a+b-1, a+b+1, a mod b, b mod a, b-a, a-b: EQ2 result has 3 digit(s) (value 100..999) but with a in 10..99, b in 10..99: |a-b| <= 89, a+b <= 198, a+b-1 <= 197, a+b+1 <= 199, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",a+b <= 198 does not miss 100..999 | a+b-1 <= 197 does not miss 100..999 | a+b+1 <= 199 does not miss 100..999
d2fe9d04,kill,onesenum,verdict,46,1134,"s17: z != a*b+1: EQ3 ones: a ends D in {2,3,4}, b ends B in {2,3,4}, result ends b's ones symbol; 2*3 then +1 ends 7; 2*4 then +1 ends 9; 3*2 then +1 ends 7; 3*4 then +1 ends 3; 4*2 then +1 ends 9; 4*3 then +1 ends 3 -> none matches -> drop.",1 stated pair(s) actually match the target
d350828e,routing,example,transcription,31,424,"EQ4 RHS !//| vs }"">/ (in order) / >/}""/ (swapped) -> neither.",swapped operand string wrong
d5602cc5,union,digit-map,transcription,17,244,> -> H,symbol '>' not a digit symbol of the prompt
d6c03e21,table-scan,,transcription,8,183,"EQ4 :*$$, chars: 1=: 2=* 3=$ 4=$ 5=) -> op $ ; digits : * $ ) ; RHS #[!& -> digits # [ ! &","LHS ':*$$,' != prompt ""':*$$"" | indexed chars != prompt LHS"
d7662688,,,,,420,,
d7aec90d,kill,2mode,verdict,33,619,"s4: y != a*b+1: standard: EQ2 ones: a ends C in {1,2}, b ends E in {4,5}, result ends b's ones symbol; 1*4 then +1 ends 5; 1*5 then +1 ends 6; 2*4 then +1 ends 9; 2*5 then +1 ends 1 -> none matches; little-endian: EQ2 ones: a ends D in {2,3}, b ends C in {1,2}, result ends F in {3,4}; 2*1 then +1 ends 3; 3*1 then +1 ends 4; 3*2 then +1 ends 7 -> none matches -> drop.",2 stated pair(s) actually match the target
d7bcb4a6,kill,range,verdict,35,489,"s3: y != |a-b|, a mod b, b mod a, b-a, a-b: EQ2 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a mod b <= 98 does not miss 10..99 | b mod a <= 98 does not miss 10..99 | b-a <= 89 does not miss 10..99
d8d87a89,table-scan,,transcription,7,133,"EQ3 '>"">{ chars: 1=' 2=> 3=} 4="" 5=> -> op } ; digits ' > "" > ; RHS #!# -> digits # ! #",indexed chars != prompt LHS
dbdbbaa3,kill,2mode,verdict,33,490,"s3: x != a*b-1: standard: EQ1 ones: a ends B in {1,2}, b ends B in {1,2}, result ends a's ones symbol; 1*1 then -1 ends 0; 1*2 then -1 ends 1; 2*1 then -1 ends 1; 2*2 then -1 ends 3 -> none matches; little-endian: EQ1 ones: a ends A in {4,5}, b ends C in {2,3}, result ends b's ones symbol; 4*2 then -1 ends 7; 4*3 then -1 ends 1; 5*2 then -1 ends 9; 5*3 then -1 ends 4 -> none matches -> drop.",1 stated pair(s) actually match the target
dc6c0d49,table-scan,,transcription,7,136,EQ3 (**?! chars: 1=( 2=\ 3=* 4=? 5=! -> op * ; digits ( \ ? ! ; RHS |:?( -> digits | : ? (,LHS '(**?!' != prompt '\\(*?!' | indexed chars != prompt LHS
df3262bc,kill,onesenum,verdict,42,685,"s11: y != a*b: EQ3 ones: a ends D in {2,3,4}, b ends C in {2,3,4}, result ends A in {6,7,8,9}; 2*3 ends 6; 2*4 ends 8; 3*2 ends 6; 3*4 ends 2; 4*2 ends 8; 4*3 ends 2 -> none matches -> drop.",4 stated pair(s) actually match the target
e483e127,routing,example,transcription,27,334,EQ1 RHS ]>:: vs )]>): (in order) / >))] (swapped) -> neither.,in-order operand string wrong
e582df31,kill,range,verdict,36,723,"s6: y != |a-b|, a mod b, b mod a, b-a, a-b: EQ2 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a mod b <= 98 does not miss 10..99 | b mod a <= 98 does not miss 10..99 | b-a <= 89 does not miss 10..99
eac0e775,,,,,440,,
f06547b1,union,digit-map,verdict,19,340,' -> H,"""'"" should map to I (first-appearance), got H"
f2a25cf9,table-scan,,transcription,8,190,EQ4 ))\#? chars: 1=) 2=) 3=\ 4=# 5=? -> op \ ; digits ) ) # ? ; RHS \&: -> digits \ & :,missed leading sign glyph of prompt RHS
f624f57c,kill,range,verdict,34,476,"s3: y != |a-b|, a mod b, b mod a, b-a, a-b: EQ3 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a mod b <= 98 does not miss 10..99 | b mod a <= 98 does not miss 10..99 | b-a <= 89 does not miss 10..99
f7828fc1,table-scan,,transcription,7,134,EQ3 ]{+]{ chars: 1=] 2={ 3=+ 4=] 5={ -> op + ; digits ] { ] { ; RHS ]{:{ -> digits ] { : {,RHS ']{:{' != prompt ']{]{'
f7d26b8d,table-scan,,transcription,6,89,"EQ2 \}-%` chars: 1=\ 2=} 3=- 4=% 5=` -> op - ; digits \ } % ` ; RHS -\/ -> leading - is the op glyph (sign), digits \ /",RHS '-\\/' != prompt '-\\}'
f80d2e10,union,digit-map,verdict,17,289,& -> G,"'&' should map to H (first-appearance), got G"
fa714b83,kill,range,arithmetic,36,518,"s3: z != |a-b|, a mod b, b mod a, b-a, a-b: EQ4 result has 1 digit(s) (value 0..9) but with a in 10..99, b in 10..99: |a-b| >= 1, a mod b >= 0, b mod a >= 0, b-a >= -98, a-b >= -98 -> drop.",|a-b| >= 1 is FALSE (true extreme 0) | |a-b| >= 1 does not miss 0..9 | a mod b >= 0 does not miss 0..9 | b mod a >= 0 does not miss 0..9
ff0e37ae,,,,,446,,
